DATE,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindSpeed,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyWetBulbTemperature,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinimumTemperature,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,Sunrise,Sunset
1/1/13 0:51,FM-15,,,,,,,,,,,,24,39,0,33,22,10,,,,,,,,,,,,,,,,,,,
1/1/13 1:51,FM-15,,,,,,,,,,,,26,38,0,33,17,3,,,,,,,,,,,,,,,,,,,
1/1/13 2:51,FM-15,,,,,,,,,,,,27,39,0,34,,7,,,,,,,,,,,,,,,,,,,
1/1/13 3:51,FM-15,,,,,,,,,,,,27,39,0,34,,9,,,,,,,,,,,,,,,,,,,
1/1/13 4:51,FM-15,,,,,,,,,,,,27,39,0,34,,7,,,,,,,,,,,,,,,,,,,
1/1/13 5:51,FM-15,,,,,,,,,,,,26,39,0,34,21,7,,,,,,,,,,,,,,,,,,,
1/1/13 6:51,FM-15,,,,,,,,,,,,26,39,0,34,21,10,,,,,,,,,,,,,,,,,,,
1/1/13 7:51,FM-15,,,,,,,,,,,,27,38,0,34,,7,,,,,,,,,,,,,,,,,,,
1/1/13 8:51,FM-15,,,,,,,,,,,,27,39,0,34,21,7,,,,,,,,,,,,,,,,,,,
1/1/13 9:51,FM-15,,,,,,,,,,,,27,39,0,34,17,10,,,,,,,,,,,,,,,,,,,
1/1/13 10:51,FM-15,,,,,,,,,,,,27,39,0,34,,6,,,,,,,,,,,,,,,,,,,
1/1/13 11:51,FM-15,,,,,,,,,,,,26,39,0,34,16,5,,,,,,,,,,,,,,,,,,,
1/1/13 12:51,FM-15,,,,,,,,,,,,25,37,0,33,22,9,,,,,,,,,,,,,,,,,,,
1/1/13 13:51,FM-15,,,,,,,,,,,,25,37,0,33,,0,,,,,,,,,,,,,,,,,,,
1/1/13 14:51,FM-15,,,,,,,,,,,,24,38,0,33,,7,,,,,,,,,,,,,,,,,,,
1/1/13 15:51,FM-15,,,,,,,,,,,,21,38,0,32,,7,,,,,,,,,,,,,,,,,,,
1/1/13 16:51,FM-15,,,,,,,,,,,,18,36,0,30,21,10,,,,,,,,,,,,,,,,,,,
1/1/13 17:51,FM-15,,,,,,,,,,,,16,35,0,29,,5,,,,,,,,,,,,,,,,,,,
1/1/13 18:51,FM-15,,,,,,,,,,,,15,33,0,27,,6,,,,,,,,,,,,,,,,,,,
1/1/13 19:51,FM-15,,,,,,,,,,,,14,32,0,26,,5,,,,,,,,,,,,,,,,,,,
1/1/13 20:51,FM-15,,,,,,,,,,,,13,30,0,25,,7,,,,,,,,,,,,,,,,,,,
1/1/13 21:51,FM-15,,,,,,,,,,,,12,29,0,24,22,11,,,,,,,,,,,,,,,,,,,
1/1/13 22:51,FM-15,,,,,,,,,,,,9,27,0,22,,,,,,,,,,,,,,,,,,,,,
1/1/13 23:51,FM-15,,,,,,,,,,,,10,26,0,21,,6,,,,,,,,,,,,,,,,,,,
1/1/13 23:59,SOD  ,22,33,31,7,40,26,26,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,720,1639
