tripduration,starttime,stoptime,start_station_id,end_station_id,bikeid,usertype,bike_share_for_all_trip
80110,12-31-17 16:57:39,01-01-18 15:12:50,74.0,43.0,96,0,
78800,12-31-17 15:56:34,01-01-18 13:49:55,284.0,96.0,88,0,
45768,12-31-17 22:45:48,01-01-18 11:28:36,245.0,245.0,1094,0,
62172,12-31-17 17:31:10,01-01-18 10:47:23,60.0,5.0,2831,0,
43603,12-31-17 14:23:14,01-01-18 02:29:57,239.0,247.0,3167,1,
9226,12-31-17 22:51:00,01-01-18 01:24:47,30.0,30.0,1487,0,
4507,12-31-17 23:49:28,01-01-18 01:04:35,259.0,259.0,3539,0,
4334,12-31-17 23:46:37,01-01-18 00:58:51,284.0,284.0,1503,0,
4150,12-31-17 23:37:07,01-01-18 00:46:18,20.0,20.0,3125,0,
4238,12-31-17 23:35:38,01-01-18 00:46:17,20.0,20.0,2543,0,
