station_id,station_name,station_latitude,station_longitude
3,Powell St BART Station (Market St at 4th St),37.78637527,-122.4049044
4,Cyril Magnin St at Ellis St,37.78588063,-122.408915
5,Powell St BART Station (Market St at 5th St),37.78389936,-122.4084449
6,The Embarcadero at Sansome St,37.80477,-122.403234
7,Frank H Ogawa Plaza,37.80456235,-122.2717381
8,The Embarcadero at Vallejo St,37.799953,-122.398525
9,Broadway at Battery St,37.79857211,-122.400869
10,Washington St at Kearny St,37.79539294,-122.4047703
11,Davis St at Jackson St,37.79728,-122.398436
12,Pier 1/2 at The Embarcadero,37.7963894,-122.3945855
13,Commercial St at Montgomery St,37.794231,-122.402923
14,Clay St at Battery St,37.795001,-122.39997
15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203
16,Steuart St at Market St,37.79413,-122.39443
17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086
18,Telegraph Ave at Alcatraz Ave,37.85022187,-122.2601724
19,Post St at Kearny St,37.788975,-122.403452
20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051
21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811
22,Howard St at Beale St,37.789756,-122.394643
23,The Embarcadero at Steuart St,37.791464,-122.391034
24,Spear St at Folsom St,37.7896767,-122.3904285
25,Howard St at 2nd St,37.78752178,-122.3974049
26,1st St at Folsom St,37.78729,-122.39438
27,Beale St at Harrison St,37.7880593,-122.3918648
28,The Embarcadero at Bryant St,37.78716801,-122.3880979
29,O'Farrell St at Divisadero St,37.7824046,-122.4394459
30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282
31,Raymond Kimbell Playground,37.78381271,-122.4345589
33,Golden Gate Ave at Hyde St,37.7816495,-122.4154077
34,Father Alfred E Boeddeker Park,37.7839879,-122.412408
35,Cahill Park,37.32911867,-121.9045758
36,Folsom St at 3rd St,37.78383,-122.39887
37,2nd St at Folsom St,37.78499973,-122.3959356
38,The Embarcadero at Pier 38,37.78292609,-122.3879206
39,Scott St at Golden Gate Ave,37.7789994,-122.4368608
40,Laguna St at McAllister St,37.7792082,-122.4268287
41,Golden Gate Ave at Polk St,37.78127,-122.41874
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823
43,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382
45,5th St at Howard St,37.781752,-122.405127
46,San Antonio Park,37.79013985,-122.2423732
47,4th St at Harrison St,37.7809546,-122.3997492
48,2nd St at S Park St,37.78241119,-122.392706
49,S Park St at 3rd St,37.7807601,-122.3949894
50,2nd St at Townsend St - Coming Soon,37.780526,-122.390288
51,Parker Ave at McAllister St,37.77610091,-122.4530929
52,McAllister St at Baker St,37.7774157,-122.4418376
53,Grove St at Divisadero,37.775946,-122.4377775
54,Alamo Square (Steiner St at Fulton St),37.77754677,-122.4332741
55,Webster St at Grove St,37.7770527,-122.4295585
56,Koshland Park,37.77341397,-122.4273169
58,Market St at 10th St,37.776619,-122.417385
59,S Van Ness Ave at Market St,37.774814,-122.418954
60,8th St at Ringold St,37.7745204,-122.4094494
61,Howard St at 8th St,37.7765126,-122.4113061
62,Victoria Manalo Draves Park,37.77779057,-122.4064319
63,Bryant St at 6th St,37.77591022,-122.402575
64,5th St at Brannan St,37.7767539,-122.3990176
65,Emeryville Depot,37.83029618,-122.2894299
66,3rd St at Townsend St,37.77874161,-122.3927408
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263
70,Central Ave at Fell St,37.77331088,-122.4442926
71,Broderick St at Oak St,37.7730627,-122.4390777
72,Page St at Scott St,37.772406,-122.4356498
73,Pierce St at Haight St,37.7717933,-122.4337079
74,Laguna St at Hayes St,37.77643482,-122.426244
75,Market St at Franklin St,37.77379321,-122.421239
76,McCoppin St at Valencia St,37.77166246,-122.4224232
77,11th St at Natoma St,37.7735069,-122.4160402
78,Folsom St at 9th St,37.7737172,-122.4116467
79,7th St at Brannan St,37.7734919,-122.4036725
80,Townsend St at 5th St,37.7753058,-122.39738
81,Berry St at 4th St,37.77588,-122.39317
84,Duboce Park,37.7692005,-122.4338119
85,Church St at Duboce Ave,37.7700831,-122.4291557
86,Market St at Dolores St,37.7693053,-122.4268256
87,Folsom St at 13th St,37.769757,-122.415674
88,11th St at Bryant St,37.7700298,-122.4117258
89,Division St at Potrero Ave,37.76921786,-122.4076456
90,Townsend St at 7th St,37.771058,-122.402717
91,Berry St at King St,37.77176211,-122.3984376
92,Mission Bay Kids Park,37.77230063,-122.3930275
93,4th St at Mission Bay Blvd S,37.7704074,-122.3911984
95,Sanchez St at 15th St,37.7662185,-122.4310597
96,Dolores St at 15th St,37.7662102,-122.4266136
97,14th St at Mission St,37.7682646,-122.4201102
98,Valencia St at 16th St,37.765052,-122.4218661
99,Folsom St at 15th St,37.7670373,-122.4154425
100,Bryant St at 15th St,37.7671004,-122.410662
101,San Bruno Ave at 16th St,37.76600774,-122.4056768
102,Irwin St at 8th St,37.7668828,-122.3995794
104,4th St at 16th St,37.76704458,-122.3908335
105,16th St at Prosper St,37.764285,-122.4318042
106,Sanchez St at 17th St,37.7632417,-122.4306746
107,17th St at Dolores St,37.7630152,-122.4264968
108,16th St Mission BART,37.76471009,-122.4199569
109,17th St at Valencia St,37.7633158,-122.4219039
110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.4152042
112,Harrison St at 17th St,37.7638471,-122.4130036
113,Franklin Square,37.764555,-122.410345
114,Rhode Island St at 17th St,37.7644783,-122.4025701
115,Jackson Playground,37.7650259,-122.3987734
116,Mississippi St at 17th St,37.7648022,-122.3947713
118,Eureka Valley Recreation Center,37.7591769,-122.4369431
119,18th St at Noe St,37.7610471,-122.4326417
120,Mission Dolores Park,37.7614205,-122.4264353
121,Mission Playground,37.7592103,-122.4213392
122,19th St at Mission St,37.760299,-122.418892
123,Folsom St at 19th St,37.7605936,-122.4148171
124,19th St at Florida St,37.7604469,-122.410807
125,20th St at Bryant St,37.7592005,-122.409851
126,Esprit Park,37.7616343,-122.3906477
127,Valencia St at 21st St,37.7567083,-122.421025
129,Harrison St at 20th St,37.758862,-122.412544
130,22nd St Caltrain Station,37.75736899,-122.3920566
131,Dolores St at 22nd St,37.754795,-122.425649
132,24th St at Chattanooga St,37.7518194,-122.4266139
133,Valencia St at 22nd St,37.7552126,-122.4209752
134,Valencia St at 24th St,37.7524278,-122.4206278
136,23rd St at San Bruno Ave,37.7544356,-122.4043639
137,Jersey St at Castro St,37.750506,-122.4339496
138,Jersey St at Church St,37.7509004,-122.4274114
139,Garfield Square (25th St at Harrison St),37.7510171,-122.4119009
140,Cesar Chavez St at Dolores St,37.7478584,-122.4249863
141,Valencia St at Cesar Chavez St,37.7479981,-122.4202187
142,Guerrero Park,37.7457388,-122.4221402
144,Precita Park,37.7472996,-122.4114029
145,29th St at Church St,37.7436839,-122.4268059
146,30th St at San Jose Ave,37.7423139,-122.4231805
147,29th St at Tiffany Ave,37.7440667,-122.4214722
148,Horton St at 40th St,37.8297046,-122.2876102
149,Emeryville Town Hall,37.8312752,-122.2856333
150,Adeline St at 40th St,37.8312769,-122.2782669
151,53rd St at Hollis St,37.8361823,-122.2871801
152,47th St at San Pablo Ave,37.8356322,-122.2810507
153,59th St at Horton St,37.8409452,-122.2913604
154,Doyle St at 59th St,37.8419238,-122.2880451
155,Emeryville Public Market,37.84052117,-122.2935283
156,Stanford Ave at Hollis St,37.8384435,-122.2886647
157,65th St at Hollis St,37.8467842,-122.2913761
158,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901
159,24th St at Market St,37.8160598,-122.2782444
160,West Oakland BART Station,37.8053183,-122.2948365
162,Franklin St at 9th St,37.8005161,-122.2720799
163,Lake Merritt BART Station,37.7973195,-122.2653199
164,Isabella St at San Pablo Ave,37.81498823,-122.2748441
166,College Ave at Alcatraz Ave,37.8513755,-122.2525233
167,College Ave at Harwood Ave,37.848152,-122.2521599
168,Alcatraz Ave at Shattuck Ave,37.84959497,-122.265569
169,Bushrod Park,37.8465156,-122.2653043
170,Telegraph Ave at 58th St,37.8444927,-122.261351
171,Rockridge BART Station,37.84427875,-122.2519004
172,College Ave at Taft Ave,37.8417999,-122.2515349
173,Shattuck Ave at 55th Ave,37.8403643,-122.2644881
174,Shattuck Ave at 51st St,37.8368013,-122.2640037
175,49th St at Telegraph Ave,37.8359455,-122.2623663
176,MacArthur BART Station,37.82840997,-122.2663146
177,MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002
178,Broadway at 30th St,37.8193814,-122.2619284
179,Telegraph Ave at 27th St,37.81607312,-122.2678864
180,Telegraph Ave at 23rd St,37.8126783,-122.2687726
181,Grand Ave at Webster St,37.8113768,-122.2651925
182,19th Street BART Station,37.8090126,-122.2682473
183,Telegraph Ave at 19th St,37.8087021,-122.2699271
184,Franklin St at 14th St,37.8037651,-122.2699884
185,Jackson St at 14th St,37.8018575,-122.2653676
186,Lakeside Dr at 14th St,37.8013189,-122.2626418
187,Jack London Square,37.796248,-122.279352
188,Dover St at 57th St,37.8426295,-122.267738
189,Genoa St at 55th St,37.8396488,-122.2717561
190,West St at 40th St,37.8302232,-122.2709501
191,Market St at 40th St,37.8305452,-122.2739367
192,37th St at West St,37.8266962,-122.2717955
193,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152
194,Lakeshore Ave at Trestle Glen Rd,37.8110807,-122.2432677
195,Bay Pl at Vernon St,37.81231409,-122.2607785
196,Grand Ave at Perkins St,37.80889393,-122.2564602
197,El Embarcadero at Grand Ave,37.8088479,-122.2496799
198,Snow Park,37.80781318,-122.2644961
199,Webster St at 17th St,37.80583,-122.2673076
200,2nd Ave at E 18th St,37.80021357,-122.2538102
